qid,docid,docno,rank,score,query,features
64814,3579,39585,0,19.984034544268454,Derek recommends that George express his feelings to Meredith,[8.81658174 8.91657978]
64814,7010,76924,1,19.9051791070917,Derek recommends that George express his feelings to Meredith,[8.54440597 8.45534456]
64814,406,4421,2,18.851142942676937,Derek recommends that George express his feelings to Meredith,[8.57681482 8.084457  ]
64814,4874,53798,3,17.988129718536843,Derek recommends that George express his feelings to Meredith,[7.98806298 8.50593747]
64814,6906,75755,4,17.41767399576187,Derek recommends that George express his feelings to Meredith,[7.66475083 8.86908116]
64814,6334,69684,5,17.230160939186746,Derek recommends that George express his feelings to Meredith,[7.48887019 8.93447999]
64814,2615,28664,6,16.713052209124672,Derek recommends that George express his feelings to Meredith,[6.66035297 9.35788202]
64814,6854,75201,7,15.895289472930521,Derek recommends that George express his feelings to Meredith,[7.04343885 8.51269127]
64814,544,6005,8,15.753171240493813,Derek recommends that George express his feelings to Meredith,[ 7.67700542 10.00866452]
64814,5662,62104,9,15.310290005635222,Derek recommends that George express his feelings to Meredith,[7.57650698 5.19849151]
64814,4049,44906,10,15.015350015720898,Derek recommends that George express his feelings to Meredith,[6.83740477 6.74678409]
64814,6711,73822,11,15.004695796742165,Derek recommends that George express his feelings to Meredith,[5.95692325 9.12032652]
64814,7351,80576,12,14.847576685497804,Derek recommends that George express his feelings to Meredith,[7.60589296 5.42170321]
64814,6381,70251,13,14.833996455073667,Derek recommends that George express his feelings to Meredith,[6.36831999 7.89719317]
64814,7467,81885,14,14.81730390335752,Derek recommends that George express his feelings to Meredith,[6.15423984 7.51536856]
64814,779,8938,15,14.689033124660547,Derek recommends that George express his feelings to Meredith,[5.87738319 8.78967351]
64814,2026,22278,16,14.686361006413637,Derek recommends that George express his feelings to Meredith,[6.5666446  6.10616955]
64814,1364,15416,17,14.56048870726664,Derek recommends that George express his feelings to Meredith,[6.69046694 4.74434074]
64814,664,7616,18,14.486154614826066,Derek recommends that George express his feelings to Meredith,[6.62681562 6.67099638]
64814,5734,62953,19,14.444071010449733,Derek recommends that George express his feelings to Meredith,[6.46677268 6.21671677]
64814,1139,12988,20,14.38973287932169,Derek recommends that George express his feelings to Meredith,[6.40314408 6.14561023]
64814,81,928,21,14.367968617026742,Derek recommends that George express his feelings to Meredith,[6.47289334 6.88321455]
64814,5909,64884,22,14.310216511187647,Derek recommends that George express his feelings to Meredith,[6.57010626 7.10035668]
